film,channel,channel_rank,channel_id,source_category,status,top_channels_present_for_film,top_channels_total,tracked_review_videos,stored_comments,latest_published_at,latest_scanned_at,retry_priority,note
Love Oh Love,Tamil Talkies,1,UCkI-SYGC8fxPNcp6FsX4SRQ,roast_commentary,fetched_with_comments,4,8,2,73,2026-07-14T02:12:49+00:00,2026-08-09T17:02:14.723535+00:00,41,Comment evidence from this channel is stored.
Parimala and Co,Tamil Talkies,1,UCkI-SYGC8fxPNcp6FsX4SRQ,roast_commentary,fetched_with_comments,4,8,2,224,2026-06-08T17:13:21+00:00,2026-07-18T12:44:20.615962+00:00,41,Comment evidence from this channel is stored.
Youth,Tamil Talkies,1,UCkI-SYGC8fxPNcp6FsX4SRQ,roast_commentary,fetched_with_comments,4,8,1,462,2026-03-19T22:43:50+00:00,2026-07-18T12:44:20.615962+00:00,41,Comment evidence from this channel is stored.
DC,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,5,8,0,0,,,38,Targeted film-channel search should retry this pair.
Thaai Kizhavi,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,5,8,0,0,,,38,Targeted film-channel search should retry this pair.
DC,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,fetched_with_comments,5,8,0,31,,,37,Comment evidence from this channel is stored.
Thaai Kizhavi,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,fetched_with_comments,5,8,1,43,,2026-07-15T14:24:12.509656+00:00,37,Comment evidence from this channel is stored.
DC,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,5,8,0,0,,,36,Targeted film-channel search should retry this pair.
Thaai Kizhavi,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,missing_needs_retry,5,8,0,0,,,36,Targeted film-channel search should retry this pair.
DC,Empty Hand,5,UC8_aMwsn53tncdH-5iLu8-w,roast_commentary,fetched_with_comments,5,8,1,373,2026-08-07T11:38:37+00:00,2026-08-09T17:02:14.723535+00:00,35,Comment evidence from this channel is stored.
Thaai Kizhavi,Empty Hand,5,UC8_aMwsn53tncdH-5iLu8-w,roast_commentary,missing_needs_retry,5,8,0,0,,,35,Targeted film-channel search should retry this pair.
DC,Second Show,4,UCDyoch6mtkeC_5lNkI9W2OQ,general_review,tracked_no_comments,5,8,1,0,2023-08-27T10:30:10+00:00,2026-08-09T17:02:14.723535+00:00,34,"Review evidence tracked, but no stored comments yet."
Thaai Kizhavi,Second Show,4,UCDyoch6mtkeC_5lNkI9W2OQ,general_review,fetched_with_comments,5,8,1,128,2026-02-27T00:00:06+00:00,2026-07-18T11:19:25.278660+00:00,34,Comment evidence from this channel is stored.
DC,Filmi Craft,3,UClF9UTljviumfJf7t-VR5tg,general_review,fetched_with_comments,5,8,1,143,2026-08-07T11:03:42+00:00,2026-08-09T17:02:14.723535+00:00,33,Comment evidence from this channel is stored.
Thaai Kizhavi,Filmi Craft,3,UClF9UTljviumfJf7t-VR5tg,general_review,fetched_with_comments,5,8,1,126,2026-02-27T05:15:35+00:00,2026-07-18T11:19:25.278660+00:00,33,Comment evidence from this channel is stored.
DC,KaKi's Talkies,2,UC3Rey0d4AtvWyHVu0SC-VXA,general_review,fetched_with_comments,5,8,1,49,2026-08-07T10:02:45+00:00,2026-08-09T17:02:14.723535+00:00,32,Comment evidence from this channel is stored.
Thaai Kizhavi,KaKi's Talkies,2,UC3Rey0d4AtvWyHVu0SC-VXA,general_review,fetched_with_comments,5,8,1,57,2026-02-26T15:30:00+00:00,2026-07-18T11:19:25.278660+00:00,32,Comment evidence from this channel is stored.
DC,Tamil Talkies,1,UCkI-SYGC8fxPNcp6FsX4SRQ,roast_commentary,missing_needs_retry,5,8,0,0,,,31,Targeted film-channel search should retry this pair.
Thaai Kizhavi,Tamil Talkies,1,UCkI-SYGC8fxPNcp6FsX4SRQ,roast_commentary,fetched_with_comments,5,8,1,500,2026-02-26T21:36:56+00:00,2026-07-18T12:44:20.615962+00:00,31,Comment evidence from this channel is stored.
Anbe Diana,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,6,8,0,0,,,28,Targeted film-channel search should retry this pair.
Idhayam Murali,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,6,8,0,0,,,28,Targeted film-channel search should retry this pair.
Jana Nayagan,Delite Cinemas,8,UCAPY9agmayYQ5-tYikGlxhA,general_review,missing_needs_retry,6,8,0,0,,,28,Targeted film-channel search should retry this pair.
Anbe Diana,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,fetched_with_comments,6,8,0,19,,,27,Comment evidence from this channel is stored.
Idhayam Murali,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,fetched_with_comments,6,8,0,1,,,27,Comment evidence from this channel is stored.
Jana Nayagan,Sudhir Srinivasan,7,UCSHTtPCL2CV5eoj9uMPz_tg,critic_review,fetched_with_comments,6,8,0,74,,,27,Comment evidence from this channel is stored.
Anbe Diana,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,fetched_with_comments,6,8,1,8,2026-07-22T06:34:36+00:00,2026-08-09T17:02:14.723535+00:00,26,Comment evidence from this channel is stored.
Idhayam Murali,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,fetched_with_comments,6,8,0,1,,,26,Comment evidence from this channel is stored.
Jana Nayagan,Galatta Plus,6,UCTTUsQJAdGSd2mMsGGfvzhQ,critic_review,fetched_with_comments,6,8,1,493,2026-07-23T08:54:53+00:00,2026-08-09T17:02:14.723535+00:00,26,Comment evidence from this channel is stored.
Anbe Diana,Empty Hand,5,UC8_aMwsn53tncdH-5iLu8-w,roast_commentary,missing_needs_retry,6,8,0,0,,,25,Targeted film-channel search should retry this pair.
Idhayam Murali,Empty Hand,5,UC8_aMwsn53tncdH-5iLu8-w,roast_commentary,missing_needs_retry,6,8,0,0,,,25,Targeted film-channel search should retry this pair.
Jana Nayagan,Empty Hand,5,UC8_aMwsn53tncdH-5iLu8-w,roast_commentary,fetched_with_comments,6,8,1,313,2026-07-23T14:19:57+00:00,2026-08-09T17:02:14.723535+00:00,25,Comment evidence from this channel is stored.
Anbe Diana,Second Show,4,UCDyoch6mtkeC_5lNkI9W2OQ,general_review,fetched_with_comments,6,8,1,37,2026-07-18T03:59:21+00:00,2026-08-09T17:02:14.723535+00:00,24,Comment evidence from this channel is stored.
Idhayam Murali,Second Show,4,UCDyoch6mtkeC_5lNkI9W2OQ,general_review,fetched_with_comments,6,8,1,34,2026-07-18T14:59:24+00:00,2026-08-09T17:02:14.723535+00:00,24,Comment evidence from this channel is stored.
Jana Nayagan,Second Show,4,UCDyoch6mtkeC_5lNkI9W2OQ,general_review,missing_needs_retry,6,8,0,0,,,24,Targeted film-channel search should retry this pair.
Anbe Diana,Filmi Craft,3,UClF9UTljviumfJf7t-VR5tg,general_review,fetched_with_comments,6,8,1,76,2026-07-17T13:23:05+00:00,2026-08-04T14:56:50.107270+00:00,23,Comment evidence from this channel is stored.
Idhayam Murali,Filmi Craft,3,UClF9UTljviumfJf7t-VR5tg,general_review,fetched_with_comments,6,8,2,127,2026-07-14T14:13:12+00:00,2026-08-09T17:02:14.723535+00:00,23,Comment evidence from this channel is stored.
Jana Nayagan,Filmi Craft,3,UClF9UTljviumfJf7t-VR5tg,general_review,fetched_with_comments,6,8,1,301,2026-07-23T08:57:04+00:00,2026-08-09T17:02:14.723535+00:00,23,Comment evidence from this channel is stored.
Anbe Diana,KaKi's Talkies,2,UC3Rey0d4AtvWyHVu0SC-VXA,general_review,fetched_with_comments,6,8,1,28,2026-07-17T15:38:04+00:00,2026-08-03T12:46:01.766787+00:00,22,Comment evidence from this channel is stored.
Idhayam Murali,KaKi's Talkies,2,UC3Rey0d4AtvWyHVu0SC-VXA,general_review,fetched_with_comments,6,8,1,68,2026-07-10T11:25:22+00:00,2026-08-09T17:02:14.723535+00:00,22,Comment evidence from this channel is stored.
Jana Nayagan,KaKi's Talkies,2,UC3Rey0d4AtvWyHVu0SC-VXA,general_review,fetched_with_comments,6,8,1,136,2026-07-23T11:59:41+00:00,2026-08-03T14:23:08.489979+00:00,22,Comment evidence from this channel is stored.
Anbe Diana,Tamil Talkies,1,UCkI-SYGC8fxPNcp6FsX4SRQ,roast_commentary,fetched_with_comments,6,8,2,180,2026-07-20T16:37:16+00:00,2026-08-09T17:02:14.723535+00:00,21,Comment evidence from this channel is stored.
Idhayam Murali,Tamil Talkies,1,UCkI-SYGC8fxPNcp6FsX4SRQ,roast_commentary,fetched_with_comments,6,8,1,262,2026-07-10T22:00:12+00:00,2026-08-09T17:02:14.723535+00:00,21,Comment evidence from this channel is stored.
Jana Nayagan,Tamil Talkies,1,UCkI-SYGC8fxPNcp6FsX4SRQ,roast_commentary,fetched_with_comments,6,8,1,381,2026-07-24T02:18:26+00:00,2026-08-09T17:02:14.723535+00:00,21,Comment evidence from this channel is stored.
